"Nome Locale";"Capienza";"Provincia";"Comune";"Genere locale";"CAP";"Numero civico";"Toponimo";" Ingressi";"Giornate solari";"Indirizzo"
"MOROSINI CAPPELLO";"300";"VICENZA";"Cartigliano";"ALL'APERTO";"36050";"1";"VIALE";"396";"3";"CAPPELLO"
"ODEON";"525";"VICENZA";"Vicenza";"CINEMA";"36100";"176";"CORSO";"111968";"333";"ANDREA PALLADIO"
"ODEON - LAMPERTICO";"91";"VICENZA";"Vicenza";"CINEMA";"36100";"176";"CORSO";"9";"1";"ANDREA PALLADIO"
"ODEON - LAMPERTICO";"91";"VICENZA";"Vicenza";"CINEMA";"36100";"176";"CORSO";"315";"6";"ANDREA PALLADIO"
"PALAZZO TOALDI CAPRA";"280";"VICENZA";"Schio";"CINEMA";"36015";"52";"VIA";"2751";"20";"PASUBIO"
"PALLADIO";"100";"VICENZA";"Roana";"TEATRO";"36010";"SNC";"VIA";"1236";"23";"BUSIBOLLO"
"PARCO GIOCHI QUARTIERE SANTI";"200";"VICENZA";"Cassola";"ALL'APERTO";"36022";"SNC";"VIA";"50";"1";"SAN BONAVENTURA"
"PARROCCHIALE";"100";"VICENZA";"Marostica";"SALA";"36063";"3";"VIA";"679";"11";"SISEMOL"
"PARROCCHIALE";"100";"VICENZA";"Marostica";"SALA";"36063";"3";"VIA";"2265";"40";"SISEMOL"
"PASUBIO";"500";"VICENZA";"Schio";"CINEMA";"36015";"4";"VIA";"37755";"167";"PIETRO MARASCHIN"
"PATRONATO LEONE XIII";"468";"VICENZA";"Vicenza";"CINEMA";"36100";"1";"CONTRA'";"32439";"273";"VITTORIO VENETO"
"PATRONATO S.GAETANO";"450";"VICENZA";"Thiene";"CINEMA";"36016";"100";"VIA";"22182";"174";"SANTA MARIA MADDALENA"
"PIAZZALE ORATORIO DON BOSCO";"250";"VICENZA";"Valdagno";"ALL'APERTO";"36078";"14";"VIALE";"434";"12";"TRENTO"
"PICCOLO EDEN";"210";"VICENZA";"Thiene";"CINEMA";"36016";"17";"VIA";"5066";"306";"MASSIMILIANO KOLBE"
"POLIVALENTE LUX";"350";"VICENZA";"Castelgomberto";"SALA";"36070";"38";"VIA";"1232";"6";"BOCCA"
"PRIMAVERA";"330";"VICENZA";"Vicenza";"CINEMA";"36100";"3";"VIA";"8962";"73";"ANTONIO FEDERICO OZANAM"
"RIDOTTO REMONDINI";"100";"VICENZA";"Bassano del Grappa";"SALA";"36061";"1";"VIA";"175";"5";"SANTISSIMA TRINITA'"
"ROMA - ROMA SALA 1";"150";"VICENZA";"Vicenza";"CINEMA";"36100";"11";"STRADELLA";"25144";"365";"DEI FILIPPINI"
"ROMA - ROMA SALA 2";"140";"VICENZA";"Vicenza";"CINEMA";"36100";"11";"STRADELLA";"23028";"364";"DEI FILIPPINI"
